402011026,9,26,43,163,326,0,28,143,68,418,358,13,132,6,59,73,97,42,119,87,107,0,152,442,187,59,141,0,92,41,124,170,172,37,70,0,92,684,185,0,31,33,83,23,13,146,47,48,37,169,180
402011027,0,3,155,26,32,0,0,10,17,25,8,4,6,0,6,44,18,13,12,59,12,0,0,35,10,7,5,0,15,10,16,7,24,9,8,0,11,28,9,0,11,28,86,9,3,22,26,101,196,12,8
402021028,0,0,0,56,43,0,5,22,12,314,62,4,10,3,22,8,50,32,22,32,28,0,32,315,15,4,17,0,21,10,29,37,32,4,16,0,37,104,44,0,5,9,30,10,3,73,17,0,8,33,54
402021029,12,40,0,204,69,5,4,87,45,270,64,14,47,6,88,152,68,57,35,46,31,0,61,259,16,4,15,0,58,19,76,57,66,51,69,0,26,92,17,8,99,78,268,32,15,62,77,190,26,34,47
402021030,14,27,12,394,386,8,9,201,111,356,2067,22,268,11,145,288,47,92,81,26,107,0,451,461,110,348,133,3,136,44,267,253,117,25,166,0,66,972,160,4,142,114,102,123,20,223,37,883,11,192,155
402021031,3,4,0,45,39,0,3,21,6,145,59,4,35,0,7,13,30,50,18,30,14,0,72,376,19,0,15,0,22,10,22,24,17,0,8,0,7,56,19,0,9,0,13,10,0,28,15,8,3,21,19
402021032,0,3,96,55,68,0,0,23,8,238,40,3,12,0,19,16,35,28,33,27,21,0,13,245,33,8,13,3,21,10,29,24,38,4,12,0,9,237,54,3,6,23,42,16,0,40,48,31,28,87,86
402021033,0,4,21,22,20,0,0,8,9,28,5,4,3,0,7,4,15,18,8,24,6,0,0,15,11,0,3,0,4,5,11,0,23,0,3,0,5,18,9,0,3,10,8,4,0,4,9,4,11,7,6
402021034,0,7,0,50,198,0,0,23,5,121,84,17,22,3,27,68,38,31,62,23,44,0,42,172,80,8,26,0,30,10,28,43,61,10,24,0,17,612,153,0,11,6,41,33,0,59,22,34,9,146,113
402021035,10,25,733,100,47,3,0,31,14,33,20,6,5,5,11,60,37,13,13,47,13,0,4,58,23,5,4,0,23,13,36,19,63,9,40,0,21,97,16,7,53,123,173,34,18,32,14,384,243,15,41
402031036,34,152,4,903,582,12,29,496,244,327,240,82,157,25,219,816,227,196,217,97,168,4,170,475,158,70,77,0,209,52,304,230,351,66,354,3,198,1296,284,14,433,355,733,670,53,251,209,603,68,188,258
402031037,14,19,3,202,151,4,19,93,56,354,535,15,152,6,46,61,99,51,69,50,46,0,324,694,76,463,96,0,98,27,129,82,78,18,46,4,40,286,91,0,14,7,65,13,3,142,24,111,6,143,85
402031038,13,49,0,235,187,8,24,142,57,241,166,38,33,12,66,244,130,142,70,53,63,0,90,409,68,39,65,0,106,33,85,105,126,18,63,6,97,403,97,9,23,35,105,60,13,153,69,191,7,58,82
402041039,0,0,3,25,27,0,0,0,3,0,5,0,0,5,4,59,0,11,0,0,0,0,0,0,0,0,0,0,3,0,11,7,8,21,28,0,0,48,16,0,23,15,157,8,0,5,0,0,0,25,33
