Code,Label,Year,Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%)
125031482,Greystanes - Pemulwuy,2018,"2,106","2,188","1,968","1,537","1,675","1,788","2,024","2,231","2,122","1,868","1,597","1,390","1,261","1,293","1,331",848,490,410,7.5,7.8,7.0,5.5,6.0,6.4,7.2,7.9,7.5,6.6,5.7,4.9,4.5,4.6,4.7,3.0,1.7,1.5
125031483,Guildford - South Granville,2018,"2,153","1,795","1,680","1,526","1,935","2,124","2,037","1,594","1,321","1,183","1,153","1,170",994,771,641,458,298,370,9.3,7.7,7.2,6.6,8.3,9.2,8.8,6.9,5.7,5.1,5.0,5.0,4.3,3.3,2.8,2.0,1.3,1.6
125031484,Guildford West - Merrylands West,2018,"1,811","1,632","1,378","1,353","1,878","2,062","1,912","1,661","1,334","1,255","1,238","1,156","1,007",791,622,465,353,428,8.1,7.3,6.2,6.1,8.4,9.2,8.6,7.4,6.0,5.6,5.5,5.2,4.5,3.5,2.8,2.1,1.6,1.9
125031485,Merrylands - Holroyd,2018,"2,670","2,143","1,729","1,747","2,491","3,064","3,116","2,612","1,951","1,738","1,695","1,499","1,310","1,030",872,624,477,505,8.5,6.9,5.5,5.6,8.0,9.8,10.0,8.4,6.2,5.6,5.4,4.8,4.2,3.3,2.8,2.0,1.5,1.6
125041489,North Parramatta,2018,"1,819","1,416",981,"1,113","1,608","2,656","3,140","2,661","1,753","1,397","1,224","1,159","1,038",745,597,395,288,435,7.4,5.8,4.0,4.6,6.6,10.9,12.9,10.9,7.2,5.7,5.0,4.7,4.2,3.1,2.4,1.6,1.2,1.8
125041490,North Rocks,2018,516,672,579,474,475,397,422,608,603,574,500,497,475,441,456,327,144,136,6.2,8.1,7.0,5.7,5.7,4.8,5.1,7.3,7.3,6.9,6.0,6.0,5.7,5.3,5.5,3.9,1.7,1.6
125041491,Northmead,2018,"2,260","1,650","1,041",753,"1,032","1,943","3,280","2,703","1,659","1,133",878,815,765,647,584,430,315,450,10.1,7.4,4.7,3.4,4.6,8.7,14.7,12.1,7.4,5.1,3.9,3.6,3.4,2.9,2.6,1.9,1.4,2.0
125041492,Parramatta - Rosehill,2018,"3,146","1,748",923,852,"2,473","5,508","6,516","4,173","1,922","1,243","1,112","1,065",962,753,507,350,262,248,9.3,5.2,2.7,2.5,7.3,16.3,19.3,12.4,5.7,3.7,3.3,3.2,2.8,2.2,1.5,1.0,0.8,0.7
125041493,Toongabbie - Constitution Hill,2018,"1,578","1,530","1,325","1,274","1,483","1,705","1,926","1,688","1,492","1,434","1,375","1,293","1,130",968,916,787,636,586,6.8,6.6,5.7,5.5,6.4,7.4,8.3,7.3,6.5,6.2,5.9,5.6,4.9,4.2,4.0,3.4,2.8,2.5
125041494,Winston Hills,2018,849,918,768,633,599,510,684,922,865,851,628,596,500,483,641,390,216,188,7.6,8.2,6.8,5.6,5.3,4.5,6.1,8.2,7.7,7.6,5.6,5.3,4.4,4.3,5.7,3.5,1.9,1.7
