Code,Label,Year,Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%)
107011132,Horsley - Kembla Grange,2018,746,796,800,777,569,518,773,734,685,716,602,534,451,346,251,204,134,97,7.7,8.2,8.2,8.0,5.8,5.3,7.9,7.5,7.0,7.4,6.2,5.5,4.6,3.6,2.6,2.1,1.4,1.0
107011134,Unanderra - Mount Kembla,2018,946,946,"1,054","1,084","1,148","1,005",917,962,970,"1,066","1,061","1,156",957,779,657,398,289,454,6.0,6.0,6.7,6.8,7.2,6.3,5.8,6.1,6.1,6.7,6.7,7.3,6.0,4.9,4.1,2.5,1.8,2.9
107011545,Berkeley - Lake Heights - Cringila,2018,"1,010",980,880,817,"1,050","1,035",973,971,845,896,882,965,816,686,567,480,468,335,6.9,6.7,6.0,5.6,7.2,7.1,6.6,6.6,5.8,6.1,6.0,6.6,5.6,4.7,3.9,3.3,3.2,2.3
107011546,Port Kembla - Warrawong,2018,687,666,564,493,618,753,567,558,585,664,668,662,590,487,462,410,364,375,6.8,6.5,5.5,4.8,6.1,7.4,5.6,5.5,5.8,6.5,6.6,6.5,5.8,4.8,4.5,4.0,3.6,3.7
107011547,Windang - Primbee,2018,221,241,192,201,232,212,203,242,237,244,284,331,309,297,314,263,208,150,5.0,5.5,4.4,4.6,5.3,4.8,4.6,5.5,5.4,5.6,6.5,7.6,7.1,6.8,7.2,6.0,4.7,3.4
107031136,Albion Park - Macquarie Pass,2018,"1,085","1,167","1,133","1,197","1,005",985,"1,048",984,"1,005","1,077",919,977,775,595,479,340,195,281,7.1,7.7,7.4,7.9,6.6,6.5,6.9,6.5,6.6,7.1,6.0,6.4,5.1,3.9,3.1,2.2,1.3,1.8
107031137,Albion Park Rail,2018,417,464,384,432,450,494,499,419,349,394,428,509,416,403,314,240,129,189,6.0,6.7,5.5,6.2,6.5,7.1,7.2,6.0,5.0,5.7,6.2,7.3,6.0,5.8,4.5,3.5,1.9,2.7
107031138,Kiama,2018,383,440,436,414,418,376,380,366,430,503,543,590,648,636,627,424,268,341,4.7,5.4,5.3,5.0,5.1,4.6,4.6,4.5,5.2,6.1,6.6,7.2,7.9,7.7,7.6,5.2,3.3,4.1
107031139,Kiama Downs - Minnamurra,2018,410,382,427,363,376,270,296,348,398,394,367,457,518,410,295,211,134,131,6.6,6.2,6.9,5.9,6.1,4.4,4.8,5.6,6.4,6.4,5.9,7.4,8.4,6.6,4.8,3.4,2.2,2.1
107031140,Kiama Hinterland - Gerringong,2018,422,523,532,544,473,347,420,416,489,532,535,613,669,599,530,348,209,248,5.0,6.2,6.3,6.4,5.6,4.1,5.0,4.9,5.8,6.3,6.3,7.3,7.9,7.1,6.3,4.1,2.5,2.9
107031141,Shellharbour - Flinders,2018,"1,235","1,418","1,480","1,300","1,184","1,005","1,164","1,285","1,374","1,422","1,208","1,105",971,834,703,447,270,205,6.6,7.6,8.0,7.0,6.4,5.4,6.3,6.9,7.4,7.6,6.5,5.9,5.2,4.5,3.8,2.4,1.5,1.1
107031142,Shellharbour - Oak Flats,2018,670,571,636,670,660,608,635,602,588,674,637,787,676,608,498,339,273,231,6.5,5.5,6.1,6.5,6.4,5.9,6.1,5.8,5.7,6.5,6.1,7.6,6.5,5.9,4.8,3.3,2.6,2.2
107031143,Warilla,2018,"1,266","1,350","1,235","1,279","1,373","1,256","1,283","1,117","1,106","1,343","1,278","1,448","1,292","1,218","1,175",904,635,532,6.0,6.4,5.9,6.1,6.5,6.0,6.1,5.3,5.2,6.4,6.1,6.9,6.1,5.8,5.6,4.3,3.0,2.5
107041144,Balgownie - Fairy Meadow,2018,"1,323","1,238","1,220","1,416","2,006","1,516","1,441","1,315","1,281","1,472","1,319","1,328","1,221","1,026",995,808,646,712,5.9,5.6,5.5,6.4,9.0,6.8,6.5,5.9,5.7,6.6,5.9,6.0,5.5,4.6,4.5,3.6,2.9,3.2
107041145,Corrimal - Tarrawanna - Bellambi,2018,953,984,961,861,"1,043","1,045","1,031",998,960,"1,125",939,"1,133",999,819,680,526,398,543,6.0,6.2,6.0,5.4,6.5,6.5,6.4,6.2,6.0,7.0,5.9,7.1,6.2,5.1,4.3,3.3,2.5,3.4
107041146,Figtree - Keiraville,2018,"1,239","1,462","1,478","1,572","2,208","1,613","1,331","1,374","1,471","1,435","1,215","1,242","1,073",940,896,693,585,561,5.5,6.5,6.6,7.0,9.9,7.2,5.9,6.1,6.6,6.4,5.4,5.5,4.8,4.2,4.0,3.1,2.6,2.5
107041147,Helensburgh,2018,691,694,608,602,603,544,545,634,695,710,625,703,517,357,294,182,115,118,7.5,7.5,6.6,6.5,6.5,5.9,5.9,6.9,7.5,7.7,6.8,7.6,5.6,3.9,3.2,2.0,1.2,1.3
107041148,Thirroul - Austinmer - Coalcliff,2018,737,868,885,725,564,559,575,737,862,956,820,887,817,707,495,303,216,241,6.2,7.3,7.4,6.1,4.7,4.7,4.8,6.2,7.2,8.0,6.9,7.4,6.8,5.9,4.1,2.5,1.8,2.0
107041150,Woonona - Bulli - Russell Vale,2018,"1,402","1,600","1,444","1,402","1,165","1,035","1,209","1,433","1,494","1,578","1,267","1,345","1,161","1,038",814,618,439,492,6.7,7.6,6.9,6.7,5.6,4.9,5.8,6.8,7.1,7.5,6.1,6.4,5.5,5.0,3.9,3.0,2.1,2.4
107041548,Wollongong - East,2018,522,409,304,663,"2,424","2,431","1,338",916,711,729,845,870,851,757,769,510,445,420,3.3,2.6,1.9,4.2,15.2,15.3,8.4,5.8,4.5,4.6,5.3,5.5,5.3,4.8,4.8,3.2,2.8,2.6
107041549,Wollongong - West,2018,957,881,761,"1,002","2,735","2,201","1,473","1,073",977,"1,042",943,900,750,660,549,438,388,323,5.3,4.9,4.2,5.6,15.1,12.2,8.2,5.9,5.4,5.8,5.2,5.0,4.2,3.7,3.0,2.4,2.1,1.8
108011151,Bulahdelah - Stroud,2018,240,282,298,252,175,164,185,222,259,333,415,377,431,354,296,227,129,128,5.0,5.9,6.3,5.3,3.7,3.4,3.9,4.7,5.4,7.0,8.7,7.9,9.0,7.4,6.2,4.8,2.7,2.7
108011152,Forster,2018,679,740,779,720,560,516,600,614,692,792,804,"1,008","1,141","1,317","1,338",962,714,811,4.6,5.0,5.3,4.9,3.8,3.5,4.1,4.2,4.7,5.4,5.4,6.8,7.7,8.9,9.0,6.5,4.8,5.5
108011153,Forster-Tuncurry Region,2018,273,382,421,363,200,160,212,251,361,438,424,599,585,614,521,312,168,119,4.3,6.0,6.6,5.7,3.1,2.5,3.3,3.9,5.6,6.8,6.6,9.4,9.1,9.6,8.1,4.9,2.6,1.9
108011154,Tuncurry,2018,218,252,210,254,195,231,213,195,210,308,320,466,542,672,681,558,393,454,3.4,4.0,3.3,4.0,3.1,3.6,3.3,3.1,3.3,4.8,5.0,7.3,8.5,10.5,10.7,8.8,6.2,7.1
108021155,Kempsey,2018,"1,002","1,060","1,057",976,881,943,896,773,772,925,952,969,"1,037",928,775,563,380,420,6.5,6.9,6.9,6.4,5.8,6.2,5.9,5.0,5.0,6.0,6.2,6.3,6.8,6.1,5.1,3.7,2.5,2.7
108021156,Kempsey Region,2018,453,495,504,503,372,288,395,359,487,561,686,941,954,820,564,329,213,208,5.0,5.4,5.5,5.5,4.1,3.2,4.3,3.9,5.3,6.1,7.5,10.3,10.4,9.0,6.2,3.6,2.3,2.3
108021157,Macksville - Scotts Head,2018,290,315,325,306,211,232,208,205,256,309,294,401,404,396,340,206,155,167,5.8,6.3,6.5,6.1,4.2,4.6,4.1,4.1,5.1,6.2,5.9,8.0,8.0,7.9,6.8,4.1,3.1,3.3
108021158,Nambucca Heads,2018,339,339,349,320,222,266,224,270,275,323,404,557,548,612,645,457,294,405,4.9,4.9,5.1,4.7,3.2,3.9,3.3,3.9,4.0,4.7,5.9,8.1,8.0,8.9,9.4,6.7,4.3,5.9
108021159,Nambucca Heads Region,2018,410,439,545,488,303,311,335,327,382,514,557,770,711,649,504,288,211,122,5.2,5.6,6.9,6.2,3.9,4.0,4.3,4.2,4.9,6.5,7.1,9.8,9.0,8.3,6.4,3.7,2.7,1.6
108021160,South West Rocks,2018,235,265,225,214,147,155,185,211,248,262,332,386,502,569,559,342,218,230,4.4,5.0,4.3,4.0,2.8,2.9,3.5,4.0,4.7,5.0,6.3,7.3,9.5,10.8,10.6,6.5,4.1,4.4
108031161,Lord Howe Island,2018,29,20,26,3,8,42,19,49,23,20,20,54,33,16,14,28,6,11,6.9,4.8,6.2,0.7,1.9,10.0,4.5,11.6,5.5,4.8,4.8,12.8,7.8,3.8,3.3,6.7,1.4,2.6
108041162,Laurieton - Bonny Hills,2018,699,930,947,947,532,518,615,687,798,"1,037","1,132","1,381","1,505","1,732","1,660","1,179",796,740,3.9,5.2,5.3,5.3,3.0,2.9,3.4,3.9,4.5,5.8,6.3,7.7,8.4,9.7,9.3,6.6,4.5,4.1
108041163,Port Macquarie - East,2018,"1,427","1,867","1,934","1,670","1,174","1,402","1,338","1,563","1,664","1,983","1,761","2,064","1,943","1,892","1,893","1,492",994,"1,116",4.9,6.4,6.6,5.7,4.0,4.8,4.6,5.4,5.7,6.8,6.0,7.1,6.7,6.5,6.5,5.1,3.4,3.8
108041164,Port Macquarie - West,2018,919,"1,056","1,064","1,023",915,"1,050","1,002",946,899,"1,092",958,"1,166","1,167","1,270","1,436","1,072",783,978,4.9,5.6,5.7,5.4,4.9,5.6,5.3,5.0,4.8,5.8,5.1,6.2,6.2,6.8,7.6,5.7,4.2,5.2
108041165,Port Macquarie Region,2018,235,337,368,315,213,236,204,240,329,391,397,531,516,449,310,188,93,85,4.3,6.2,6.8,5.8,3.9,4.3,3.8,4.4,6.1,7.2,7.3,9.8,9.5,8.3,5.7,3.5,1.7,1.6
108041166,Wauchope,2018,638,905,882,789,535,540,537,622,660,767,737,819,751,782,697,465,346,327,5.4,7.7,7.5,6.7,4.5,4.6,4.6,5.3,5.6,6.5,6.2,6.9,6.4,6.6,5.9,3.9,2.9,2.8
108051167,Gloucester,2018,258,267,309,284,178,190,179,239,238,300,344,412,408,470,432,277,198,182,5.0,5.2,6.0,5.5,3.4,3.7,3.5,4.6,4.6,5.8,6.7,8.0,7.9,9.1,8.4,5.4,3.8,3.5
108051168,Old Bar - Manning Point - Red Head,2018,577,680,650,567,328,369,448,443,587,685,642,865,999,"1,098",927,609,323,326,5.2,6.1,5.8,5.1,2.9,3.3,4.0,4.0,5.3,6.2,5.8,7.8,9.0,9.9,8.3,5.5,2.9,2.9
108051169,Taree,2018,"1,213","1,317","1,376","1,337","1,106","1,111","1,001",991,"1,076","1,245","1,181","1,434","1,404","1,349","1,297",979,706,779,5.8,6.3,6.6,6.4,5.3,5.3,4.8,4.7,5.1,6.0,5.7,6.9,6.7,6.5,6.2,4.7,3.4,3.7
108051170,Taree Region,2018,480,613,735,675,418,410,415,441,577,818,952,"1,179","1,329","1,297","1,165",649,329,307,3.8,4.8,5.7,5.3,3.3,3.2,3.2,3.4,4.5,6.4,7.4,9.2,10.4,10.1,9.1,5.1,2.6,2.4
108051171,Wingham,2018,333,338,351,336,267,246,276,274,242,290,401,392,422,368,323,253,172,195,6.1,6.2,6.4,6.1,4.9,4.5,5.0,5.0,4.4,5.3,7.3,7.2,7.7,6.7,5.9,4.6,3.1,3.6
109011172,Albury - East,2018,"1,275","1,213","1,091",993,"1,287","1,302","1,135","1,145","1,037","1,059",813,894,773,687,600,406,302,295,7.8,7.4,6.7,6.1,7.9,8.0,7.0,7.0,6.4,6.5,5.0,5.5,4.7,4.2,3.7,2.5,1.9,1.8
109011173,Albury - North,2018,692,622,670,650,745,747,596,559,586,691,649,701,570,517,421,359,233,254,6.7,6.1,6.5,6.3,7.3,7.3,5.8,5.4,5.7,6.7,6.3,6.8,5.6,5.0,4.1,3.5,2.3,2.5
109011174,Albury - South,2018,596,593,533,643,682,612,619,586,635,624,703,748,721,661,544,378,309,402,5.6,5.6,5.0,6.1,6.4,5.8,5.8,5.5,6.0,5.9,6.6,7.1,6.8,6.2,5.1,3.6,2.9,3.8
109011175,Albury Region,2018,744,943,971,891,473,368,558,603,647,839,843,954,870,770,606,432,239,263,6.2,7.8,8.1,7.4,3.9,3.1,4.6,5.0,5.4,7.0,7.0,7.9,7.2,6.4,5.0,3.6,2.0,2.2
109011176,Lavington,2018,967,899,889,864,"1,036","1,001",976,866,867,886,791,988,932,894,781,595,413,371,6.4,6.0,5.9,5.8,6.9,6.7,6.5,5.8,5.8,5.9,5.3,6.6,6.2,6.0,5.2,4.0,2.8,2.5
109021177,Hay,2018,181,176,209,180,168,154,154,137,132,184,233,280,193,177,160,125,104,57,6.0,5.9,7.0,6.0,5.6,5.1,5.1,4.6,4.4,6.1,7.8,9.3,6.4,5.9,5.3,4.2,3.5,1.9
109021178,Wentworth - Buronga,2018,410,407,435,390,285,280,299,307,360,392,386,457,458,400,383,238,132,131,6.7,6.6,7.1,6.3,4.6,4.6,4.9,5.0,5.9,6.4,6.3,7.4,7.4,6.5,6.2,3.9,2.1,2.1
109021179,Wentworth-Balranald Region,2018,265,250,236,182,201,206,191,217,185,245,245,325,297,217,141,121,95,59,7.2,6.8,6.4,4.9,5.5,5.6,5.2,5.9,5.0,6.7,6.7,8.8,8.1,5.9,3.8,3.3,2.6,1.6
109031180,Corowa,2018,241,307,313,309,275,277,181,227,234,327,377,416,430,464,372,295,233,208,4.4,5.6,5.7,5.6,5.0,5.0,3.3,4.1,4.3,6.0,6.9,7.6,7.8,8.5,6.8,5.4,4.2,3.8
109031181,Corowa Region,2018,389,476,421,359,276,264,275,370,331,429,427,519,520,571,541,359,227,207,5.6,6.8,6.0,5.2,4.0,3.8,4.0,5.3,4.8,6.2,6.1,7.5,7.5,8.2,7.8,5.2,3.3,3.0
109031182,Deniliquin,2018,448,414,437,426,412,485,401,366,393,465,425,543,583,506,410,316,301,253,5.9,5.5,5.8,5.6,5.4,6.4,5.3,4.8,5.2,6.1,5.6,7.2,7.7,6.7,5.4,4.2,4.0,3.3
109031183,Deniliquin Region,2018,353,481,449,365,276,223,241,325,323,426,494,643,580,509,408,302,189,188,5.2,7.1,6.6,5.4,4.1,3.3,3.6,4.8,4.8,6.3,7.3,9.5,8.6,7.5,6.0,4.5,2.8,2.8
109031184,Moama,2018,371,402,360,359,265,295,343,350,349,385,306,370,378,465,548,341,223,198,5.9,6.4,5.7,5.7,4.2,4.7,5.4,5.5,5.5,6.1,4.9,5.9,6.0,7.4,8.7,5.4,3.5,3.1
109031185,Tocumwal - Finley - Jerilderie,2018,513,585,618,515,429,473,481,481,511,576,548,688,749,896,747,529,355,341,5.1,5.8,6.2,5.1,4.3,4.7,4.8,4.8,5.1,5.7,5.5,6.9,7.5,8.9,7.4,5.3,3.5,3.4
110011186,Armidale,2018,"1,415","1,391","1,431","2,287","2,938","1,638","1,575","1,297","1,230","1,378","1,383","1,463","1,245","1,040",912,778,528,575,5.8,5.7,5.8,9.3,12.0,6.7,6.4,5.3,5.0,5.6,5.6,6.0,5.1,4.2,3.7,3.2,2.2,2.3
110011187,Armidale Region - North,2018,273,323,321,271,198,232,241,248,259,303,301,353,337,300,275,152,82,86,6.0,7.1,7.0,5.9,4.3,5.1,5.3,5.4,5.7,6.7,6.6,7.7,7.4,6.6,6.0,3.3,1.8,1.9
110011188,Armidale Region - South,2018,319,375,462,412,235,240,236,303,352,446,453,494,492,407,378,247,108,127,5.2,6.2,7.6,6.8,3.9,3.9,3.9,5.0,5.8,7.3,7.4,8.1,8.1,6.7,6.2,4.1,1.8,2.1
110011189,Walcha,2018,182,188,193,180,111,156,144,154,150,212,213,241,251,259,225,187,102,83,5.6,5.8,6.0,5.6,3.4,4.8,4.5,4.8,4.6,6.6,6.6,7.5,7.8,8.0,7.0,5.8,3.2,2.6
110021190,Glen Innes,2018,450,551,567,491,361,417,440,444,454,551,519,694,683,665,606,447,285,283,5.1,6.2,6.4,5.5,4.1,4.7,4.9,5.0,5.1,6.2,5.8,7.8,7.7,7.5,6.8,5.0,3.2,3.2
110021191,Inverell,2018,801,866,890,807,665,702,645,552,648,732,634,766,681,670,654,478,373,330,6.7,7.3,7.5,6.8,5.6,5.9,5.4,4.6,5.4,6.2,5.3,6.4,5.7,5.6,5.5,4.0,3.1,2.8
110021192,Inverell Region - East,2018,293,348,353,394,239,223,242,241,270,358,334,462,427,367,306,219,144,77,5.5,6.6,6.7,7.4,4.5,4.2,4.6,4.5,5.1,6.8,6.3,8.7,8.1,6.9,5.8,4.1,2.7,1.5
110021193,Inverell Region - West,2018,395,400,401,316,257,278,276,267,307,405,414,506,431,431,421,290,210,166,6.4,6.5,6.5,5.1,4.2,4.5,4.5,4.3,5.0,6.6,6.7,8.2,7.0,7.0,6.8,4.7,3.4,2.7
110021194,Tenterfield,2018,299,374,381,351,202,214,200,282,347,407,414,609,666,647,570,305,204,166,4.5,5.6,5.7,5.3,3.0,3.2,3.0,4.2,5.2,6.1,6.2,9.2,10.0,9.7,8.6,4.6,3.1,2.5
110031195,Moree,2018,649,665,516,431,513,598,552,486,484,532,511,588,434,440,348,278,175,142,7.8,8.0,6.2,5.2,6.1,7.2,6.6,5.8,5.8,6.4,6.1,7.0,5.2,5.3,4.2,3.3,2.1,1.7
110031196,Moree Region,2018,486,459,438,346,313,334,361,337,309,369,428,376,319,257,215,133,50,38,8.7,8.2,7.9,6.2,5.6,6.0,6.5,6.1,5.5,6.6,7.7,6.8,5.7,4.6,3.9,2.4,0.9,0.7
110031197,Narrabri,2018,540,614,467,425,403,511,481,400,395,448,463,535,434,389,306,247,162,136,7.3,8.3,6.3,5.8,5.5,6.9,6.5,5.4,5.4,6.1,6.3,7.3,5.9,5.3,4.2,3.4,2.2,1.8
110031198,Narrabri Region,2018,381,370,393,282,190,232,300,272,276,254,323,419,315,274,248,164,94,84,7.8,7.6,8.1,5.8,3.9,4.8,6.2,5.6,5.7,5.2,6.6,8.6,6.5,5.6,5.1,3.4,1.9,1.7
110041199,Gunnedah,2018,744,774,632,533,556,706,670,543,499,522,547,583,504,445,407,343,322,242,7.8,8.1,6.6,5.6,5.8,7.4,7.0,5.7,5.2,5.5,5.7,6.1,5.3,4.6,4.3,3.6,3.4,2.5
110041200,Gunnedah Region,2018,247,283,271,232,220,171,204,220,240,317,288,341,326,241,192,147,88,65,6.0,6.9,6.6,5.7,5.4,4.2,5.0,5.4,5.9,7.7,7.0,8.3,8.0,5.9,4.7,3.6,2.2,1.6
110041201,Quirindi,2018,477,534,508,488,313,342,430,387,417,525,481,597,624,524,486,343,242,169,6.0,6.8,6.4,6.2,4.0,4.3,5.5,4.9,5.3,6.7,6.1,7.6,7.9,6.6,6.2,4.3,3.1,2.1
110041202,Tamworth - East,2018,"1,321","1,407","1,388","1,399","1,253","1,581","1,338","1,165","1,162","1,247","1,243","1,294","1,242","1,136",968,761,546,474,6.3,6.7,6.6,6.7,6.0,7.6,6.4,5.6,5.6,6.0,5.9,6.2,5.9,5.4,4.6,3.6,2.6,2.3
110041203,Tamworth - North,2018,"1,140","1,084","1,058","1,093",950,"1,237","1,215","1,010",856,971,877,889,818,726,675,544,444,563,7.1,6.7,6.6,6.8,5.9,7.7,7.5,6.3,5.3,6.0,5.4,5.5,5.1,4.5,4.2,3.4,2.7,3.5
110041204,Tamworth - West,2018,564,529,502,388,423,523,392,371,288,337,298,297,261,228,169,102,68,57,9.7,9.1,8.7,6.7,7.3,9.0,6.8,6.4,5.0,5.8,5.1,5.1,4.5,3.9,2.9,1.8,1.2,1.0
110041205,Tamworth Region,2018,"1,054","1,384","1,426","1,176",685,745,"1,004","1,081","1,122","1,320","1,257","1,427","1,369","1,294","1,085",752,443,395,5.5,7.3,7.5,6.2,3.6,3.9,5.3,5.7,5.9,6.9,6.6,7.5,7.2,6.8,5.7,4.0,2.3,2.1
111011206,Belmont - Bennetts Green,2018,"1,022","1,166","1,161","1,196","1,174",917,970,970,"1,088","1,238","1,156","1,176","1,144","1,176",976,621,551,601,5.6,6.4,6.3,6.5,6.4,5.0,5.3,5.3,5.9,6.8,6.3,6.4,6.3,6.4,5.3,3.4,3.0,3.3
111011207,Belmont South - Blacksmiths,2018,303,305,298,365,319,269,265,242,300,403,413,459,421,422,374,232,175,165,5.3,5.3,5.2,6.4,5.6,4.7,4.6,4.2,5.2,7.0,7.2,8.0,7.3,7.4,6.5,4.0,3.1,2.9
111011208,Charlestown - Dudley,2018,"1,820","1,605","1,482","1,290","1,481","1,577","1,911","1,773","1,506","1,604","1,511","1,444","1,341","1,165","1,072",858,675,693,7.3,6.5,6.0,5.2,6.0,6.4,7.7,7.1,6.1,6.5,6.1,5.8,5.4,4.7,4.3,3.5,2.7,2.8
111011209,Glendale - Cardiff - Hillsborough,2018,"1,588","1,619","1,567","1,489","1,451","1,562","1,761","1,602","1,561","1,550","1,484","1,530","1,295","1,214","1,110",678,473,550,6.6,6.7,6.5,6.2,6.0,6.5,7.3,6.7,6.5,6.4,6.2,6.4,5.4,5.0,4.6,2.8,2.0,2.3
111011210,Mount Hutton - Windale,2018,549,632,647,598,573,566,562,492,522,593,563,668,503,468,430,315,238,238,6.0,6.9,7.1,6.5,6.3,6.2,6.1,5.4,5.7,6.5,6.1,7.3,5.5,5.1,4.7,3.4,2.6,2.6
111011211,Redhead,2018,197,230,249,218,177,149,120,180,231,297,189,283,285,206,215,125,113,153,5.4,6.4,6.9,6.0,4.9,4.1,3.3,5.0,6.4,8.2,5.2,7.8,7.9,5.7,5.9,3.5,3.1,4.2
111011212,Swansea - Caves Beach,2018,641,685,664,654,590,449,478,642,658,742,765,952,933,870,835,588,392,457,5.3,5.7,5.5,5.5,4.9,3.7,4.0,5.4,5.5,6.2,6.4,7.9,7.8,7.3,7.0,4.9,3.3,3.8
111011213,Valentine - Eleebana,2018,638,846,903,844,641,352,431,685,817,931,879,914,871,774,794,455,279,268,5.2,6.9,7.3,6.8,5.2,2.9,3.5,5.6,6.6,7.6,7.1,7.4,7.1,6.3,6.4,3.7,2.3,2.2
111011214,Warners Bay - Boolaroo,2018,751,813,830,883,793,663,702,783,834,"1,018",907,898,885,827,804,579,397,374,5.5,5.9,6.0,6.4,5.8,4.8,5.1,5.7,6.1,7.4,6.6,6.5,6.4,6.0,5.9,4.2,2.9,2.7
111021215,Bolton Point - Teralba,2018,512,504,525,565,473,500,464,477,484,582,580,693,524,537,469,330,240,224,5.9,5.8,6.0,6.5,5.4,5.8,5.3,5.5,5.6,6.7,6.7,8.0,6.0,6.2,5.4,3.8,2.8,2.6
111021216,Bonnells Bay - Silverwater,2018,565,588,586,542,495,521,525,477,499,576,573,588,630,572,617,418,254,215,6.1,6.4,6.3,5.9,5.4,5.6,5.7,5.2,5.4,6.2,6.2,6.4,6.8,6.2,6.7,4.5,2.7,2.3
111021217,Edgeworth - Cameron Park,2018,"1,382","1,263","1,060",971,845,"1,064","1,303","1,226","1,088",990,786,748,650,609,511,282,212,268,9.1,8.3,6.9,6.4,5.5,7.0,8.5,8.0,7.1,6.5,5.2,4.9,4.3,4.0,3.3,1.8,1.4,1.8
111021218,Morisset - Cooranbong,2018,973,895,873,"1,010","1,058",918,836,798,824,983,940,"1,017","1,008",931,934,731,635,704,6.1,5.6,5.4,6.3,6.6,5.7,5.2,5.0,5.1,6.1,5.9,6.3,6.3,5.8,5.8,4.5,4.0,4.4
111021219,Toronto - Awaba,2018,794,756,797,835,742,642,704,637,730,920,832,956,955,"1,042",872,616,428,510,5.8,5.5,5.8,6.1,5.4,4.7,5.1,4.6,5.3,6.7,6.0,6.9,6.9,7.6,6.3,4.5,3.1,3.7
111021220,Wangi Wangi - Rathmines,2018,472,473,555,540,449,352,462,433,464,586,578,729,738,767,682,434,243,180,5.2,5.2,6.1,5.9,4.9,3.9,5.1,4.7,5.1,6.4,6.3,8.0,8.1,8.4,7.5,4.7,2.7,2.0
111021221,West Wallsend - Barnsley - Killingworth,2018,522,464,373,492,350,461,489,465,416,456,432,454,430,401,291,118,95,59,7.7,6.9,5.5,7.3,5.2,6.8,7.2,6.9,6.1,6.7,6.4,6.7,6.4,5.9,4.3,1.7,1.4,0.9
111031222,Adamstown - Kotara,2018,"1,032","1,213","1,008",973,958,972,"1,063","1,152","1,088","1,207",950,881,770,687,659,549,444,419,6.4,7.6,6.3,6.1,6.0,6.1,6.6,7.2,6.8,7.5,5.9,5.5,4.8,4.3,4.1,3.4,2.8,2.6
111031223,Beresfield - Hexham,2018,546,578,487,462,544,629,532,429,435,571,536,586,483,469,473,353,210,170,6.4,6.8,5.7,5.4,6.4,7.4,6.3,5.1,5.1,6.7,6.3,6.9,5.7,5.5,5.6,4.2,2.5,2.0
111031224,Hamilton - Broadmeadow,2018,627,664,620,598,"1,070","1,097",838,824,736,864,861,828,775,614,478,343,264,347,5.0,5.3,5.0,4.8,8.6,8.8,6.7,6.6,5.9,6.9,6.9,6.7,6.2,4.9,3.8,2.8,2.1,2.8
111031225,Lambton - New Lambton,2018,"1,022","1,134","1,140","1,018","1,117","1,012","1,049","1,082","1,097","1,382","1,086","1,125",969,781,668,490,345,518,6.0,6.7,6.7,6.0,6.6,5.9,6.2,6.4,6.4,8.1,6.4,6.6,5.7,4.6,3.9,2.9,2.0,3.0
111031226,Maryland - Fletcher - Minmi,2018,"1,118","1,286","1,206","1,125","1,068",957,"1,127","1,143","1,162","1,125",899,811,700,537,420,217,124,94,7.4,8.5,8.0,7.4,7.1,6.3,7.5,7.6,7.7,7.4,5.9,5.4,4.6,3.6,2.8,1.4,0.8,0.6
111031227,Mayfield - Warabrook,2018,"1,088",860,737,595,"1,345","1,496","1,405","1,200",884,955,894,983,859,680,487,385,306,307,7.0,5.6,4.8,3.8,8.7,9.7,9.1,7.8,5.7,6.2,5.8,6.4,5.6,4.4,3.1,2.5,2.0,2.0
111031228,Merewether - The Junction,2018,747,903,870,737,994,"1,230",899,904,965,"1,007",906,"1,033",874,671,529,373,295,335,5.2,6.3,6.1,5.2,7.0,8.6,6.3,6.3,6.8,7.1,6.3,7.2,6.1,4.7,3.7,2.6,2.1,2.3
111031229,Newcastle - Cooks Hill,2018,472,365,367,468,"1,285","1,652","1,149",800,666,730,709,826,797,666,465,310,188,160,3.9,3.0,3.0,3.9,10.6,13.7,9.5,6.6,5.5,6.0,5.9,6.8,6.6,5.5,3.9,2.6,1.6,1.3
111031231,Shortland - Jesmond,2018,710,592,426,"1,321","3,055","1,454",967,704,511,436,404,439,335,327,297,267,233,288,5.6,4.6,3.3,10.3,23.9,11.4,7.6,5.5,4.0,3.4,3.2,3.4,2.6,2.6,2.3,2.1,1.8,2.3
111031232,Stockton - Fullerton Cove,2018,449,463,358,323,383,418,470,447,403,488,536,607,665,727,629,413,281,236,5.4,5.6,4.3,3.9,4.6,5.0,5.7,5.4,4.9,5.9,6.5,7.3,8.0,8.8,7.6,5.0,3.4,2.8
